territoire,ligne,nom_ligne,arret_id,code,arret,latitude,longitude
TàD Roissy Villiers-le-Bel,TàD,TàD Roissy Villiers-le-Bel,IDFM:38061,,Airapolis,49.006926673485054,2.519447270115817
TàD Roissy Sarcelles,TàD,TàD Roissy Sarcelles,IDFM:38081,,Albert Camus / Les Cholettes,48.977408035585604,2.3721555058090518
TàD Roissy Sarcelles,TàD,TàD Roissy Sarcelles,IDFM:423589,,Albert Camus / Les Cholettes,48.977597151985385,2.3722078654467387
TàD 6131,TàD 6131,TàD 6131,IDFM:12748,,Albert Perdreaux,48.7969001566981,2.182495734646445
TàD 6131,TàD 6131,TàD 6131,IDFM:12749,,Albert Perdreaux,48.797046096040965,2.182792956084104
TàD Gretz-Tournan,TàD,TàD Gretz-Tournan,IDFM:426282,,Alfred de Vigny,48.74084662781492,2.7288016889560986
TàD Gretz-Tournan,TàD,TàD Gretz-Tournan,IDFM:21886,,Alfred de Vigny,48.740809445611404,2.7282715321242663
TàD Nord Meulan - Les Mureaux,TàD,TàD Nord Meulan - Les Mureaux,IDFM:32768,,Alfred Lasson,49.00269603748172,1.877777603363984
TàD Nord Meulan - Les Mureaux,TàD,TàD Nord Meulan - Les Mureaux,IDFM:32769,,Alfred Lasson,49.00270592306674,1.8778730697308696
TàD 6131,TàD 6131,TàD 6131,IDFM:12750,,Allée Noire,48.7956896636169,2.181725111466193
TàD ZI Poincy,TàD,TàD ZI Poincy,IDFM:485775,,Ampère,48.95959460536266,2.910827291723814
TàD ZI Poincy,TàD,TàD ZI Poincy,IDFM:485773,,Ampère,48.95964838662354,2.9105950496810484
TàD Roissy Goussainville,TàD,TàD Roissy Goussainville,IDFM:37948,,Ampère - Chartrel,49.03591728380292,2.4562820311315017
TàD Roissy Goussainville,TàD,TàD Roissy Goussainville,IDFM:38429,,Ampère - Chartrel,49.035478866355746,2.4567652872716845
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:39276,,Anatole France,48.94666346648047,2.6095928617395905
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:38031,,André Carrez,48.978538488249136,2.6255143905263107
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:40108,,André Citroën - Centre de Production,48.965109505544525,2.4946629109376235
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:22278,,André Citroën - Centre de Production,48.96481885653656,2.4961134309178283
TàD 4308,TàD 4308,TàD 4308,IDFM:426747,,Aqueduc,48.53198467807074,2.4387931899357076
TàD 4318,TàD 4318,TàD 4318,IDFM:426747,,Aqueduc,48.53198467807074,2.4387931899357076
TàD 4308,TàD 4308,TàD 4308,IDFM:426748,,Aqueduc,48.532407336801036,2.4387615770226847
TàD 4318,TàD 4318,TàD 4318,IDFM:426748,,Aqueduc,48.532407336801036,2.4387615770226847
TàD Bassin Chellois,TàD,TàD Bassin Chellois,IDFM:496480,,Arcades,48.88158658933634,2.6193256366719306
TàD Dimanche,TàD,TàD Dimanche,IDFM:496480,,Arcades,48.88158658933634,2.6193256366719306
TàD Desserte Hôpital,TàD,TàD Desserte Hôpital,IDFM:496480,,Arcades,48.88158658933634,2.6193256366719306
TàD 4591,TàD 4591,TàD 4591,IDFM:3122,,Aristide Briand,48.612301344170326,2.2672891987752632
TàD Nord Meulan - Les Mureaux,TàD,TàD Nord Meulan - Les Mureaux,IDFM:471527,,Arquebuse,49.00430382870603,1.9107533617115784
TàD Roissy Villiers-le-Bel,TàD,TàD Roissy Villiers-le-Bel,IDFM:490590,,Arthur Rimbaud,48.999452197947264,2.4156363060251063
TàD Roissy Villiers-le-Bel,TàD,TàD Roissy Villiers-le-Bel,IDFM:490589,,Arthur Rimbaud,48.999505150254,2.415430709742587
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:415651,,Arts,48.94211300062643,2.504851951111282
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:37951,,Arts,48.94200548735242,2.5049485350684333
TàD 3209,TàD 3209,TàD 3209,IDFM:9771,,Ateliers Municipaux,48.555398057811665,3.2979498070730555
